Category: News

Day,Coronavirus: (Singapore)
2019-12-01,0
2019-12-02,0
2019-12-03,0
2019-12-04,0
2019-12-05,0
2019-12-06,0
2019-12-07,0
2019-12-08,0
2019-12-09,0
2019-12-10,0
2019-12-11,0
2019-12-12,0
2019-12-13,0
2019-12-14,0
2019-12-15,0
2019-12-16,0
2019-12-17,0
2019-12-18,0
2019-12-19,0
2019-12-20,0
2019-12-21,0
2019-12-22,0
2019-12-23,0
2019-12-24,0
2019-12-25,0
2019-12-26,0
2019-12-27,0
2019-12-28,0
2019-12-29,0
2019-12-30,0
2019-12-31,0
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,3
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,7
2020-01-22,7
2020-01-23,15
2020-01-24,13
2020-01-25,17
2020-01-26,17
2020-01-27,25
2020-01-28,27
2020-01-29,33
2020-01-30,46
2020-01-31,41
2020-02-01,44
2020-02-02,38
2020-02-03,39
2020-02-04,49
2020-02-05,52
2020-02-06,62
2020-02-07,85
2020-02-08,83
2020-02-09,91
2020-02-10,86
2020-02-11,99
2020-02-12,97
2020-02-13,75
2020-02-14,100
2020-02-15,75
2020-02-16,91
2020-02-17,62
2020-02-18,48
2020-02-19,66
2020-02-20,53
2020-02-21,35
2020-02-22,33
2020-02-23,31
2020-02-24,48
2020-02-25,61
2020-02-26,54
2020-02-27,40
